Individual	Individual_Subsistence Strategy
AR0036	Cazadores-recolectores (y horticultores?)
AR0037	
AR0038	
AR0079	
AR0081	
AR0083	
AR0085	
AR0087	
AR0089	
AR0091	
AR0093	
AR0095	
AR0097	
AR0099	
AR0101	
AR0103	
AR0105	
AR0106	
AR0107	
AR0108	
AR0109	
AR0110	
AR0111	
AR0112	
AR0113	
AR0114	
AR0115	
AR0116	
AR0117	
AR0118	
AR0119	
AR0120	
AR0121	
AR0122	
AR0123	
AR0124	
AR0125	
AR0126	
AR0127	
AR0128	
AR0129	
AR0130	
AR0131	
AR0132	
AR0133	
AR0134	
AR0135	
AR0136	
AR0137	
AR0138	
AR0139	
AR0140	
AR0141	
AR0142	
AR0143	
AR0144	
AR0145	
AR0149	hunter-gatherers
AR0150	hunter-gatherers
AR0151	hunter-gatherers
AR0152	hunter-gatherers
AR0153	hunter-gatherers
AR0154	hunter-gatherers
AR0155	hunter-gatherers
AR0156	hunter-gatherers
AR0157	hunter-gatherers
AR0158	hunter-gatherers
AR0159	Mixed (agriculture, h-g)
AR0160	Mixed (agriculture, h-g)
AR0161	Mixed (agriculture, h-g)
AR0162	Mixed (agriculture, h-g)
AR0163	hunter-gatherers
AR0164	hunter-gatherers
AR0165	hunter-gatherers
AR0166	hunter-gatherers
AR0167	hunter-gatherers
AR0168	hunter-gatherers
AR0169	agriculturalists?
AR0170	agriculturalists?
AR0171	agriculturalists?
AR0172	agriculturalists?
AR0173	agriculturalists?
AR0174	agriculturalists?
AR0175	agriculturalists?
AR0176	agriculturalists?
AR0177	agriculturalists?
AR0178	hunter-gatherers
AR0179	hunter-gatherers
AR0180	Mixed (agriculture, h-g)
AR0181	Mixed (agriculture, h-g)
AR0182	Mixed (agriculture, h-g)
AR0183	Mixed (agriculture, h-g)
AR0184	Mixed (agriculture, h-g)
AR0185	maize agriculturalists
AR0186	maize agriculturalists
AR0187	maize agriculturalists
AR0188	maize agriculturalists
AR0189	maize agriculturalists
AR0190	maize agriculturalists
AR0191	maize agriculturalists
AR0192	maize agriculturalists
AR0193	maize agriculturalists
AR0194	maize agriculturalists
AR0195	maize agriculturalists
AR0196	maize agriculturalists
AR0197	maize agriculturalists
AR0198	maize agriculturalists
AR0199	Mixed (agriculture, h-g)
AR0200	CR/M
AR0201	CR/M
AR0202	CR/M
AR0203	CR/M
AR0204	CR/M
AR0205	CR/M
AR0206	CR/M
AR0207	CR/M
AR0208	CR/M
AR0209	CR/M
AR0210	CR/M
AR0211	CR/M
AR0212	CR/M
AR0213	CR/M
AR0214	CR/M
AR0215	CR/M
AR0216	CR/M
AR0217	CR/M
AR0218	CR/M
AR0219	CR/M
AR0220	CR/M
AR0221	CR/M
AR0222	CR/M
AR0223	CR/M
AR0224	CR/M
AR0225	CR/M
AR0226	CR/M
AR0227	CR/M
AR0228	CR/M
AR0229	CR/M
AR0230	CR/M
AR0231	CR/M
AR0232	CR/M
AR0233	CR/M
AR0234	CR/M
AR0235	CR/M
AR0236	CR/M
AR0237	CR/M
AR0238	CR/M
AR0239	CR/M
AR0240	CR/M
AR0241	CR/M
AR0242	CR/M
AR0243	CR/M
AR0244	CR/M
AR0245	CR/M
AR0246	CR/M
AR0247	CR/M
AR0248	CR/M
AR0249	CR/M
AR0250	CR/M
AR0251	CR/M
AR0252	CR/M
AR0253	CR/M
AR0254	CR/M
AR0255	CR/M
AR0256	CR/M
AR0257	CR/M
AR0258	CR/M
AR0259	CR/M
AR0260	CR/M
AR0261	CR/M
AR0262	CR/M
AR0263	CR/M
AR0264	CR/M
AR0265	CR/M
AR0266	CR/M
AR0267	CR/M
AR0268	CR/M
AR0269	CR/M
AR0270	CR/M
AR0271	CR/M
AR0272	CR/M
AR0273	CR/M
AR0274	CR/M
AR0275	CR/M
AR0276	CR/M
AR0277	CR/M
AR0278	AG
AR0279	AG
AR0280	AG
AR0281	AG
AR0282	AG
AR0283	AG
AR0284	AG
AR0285	AG
AR0286	AG
AR0287	AG
AR0288	AG
AR0289	AG
AR0290	AG
AR0291	AG
AR0292	AG
AR0293	AG
AR0294	AG
AR0295	AG
AR0296	AG
AR0297	AG
AR0298	AG
AR0299	AG
AR0300	AG
AR0301	AG
AR0302	AG
AR0303	AG
AR0304	AG
AR0305	AG
AR0306	AG
AR0307	AG
AR0308	AG
AR0309	AG
AR0310	AG
AR0311	AG
AR0312	AG
AR0313	AG
AR0314	AG
AR0315	AG
AR0316	AG
AR0317	H-G
AR0318	H-G
AR0319	H-G
AR0320	H-G
AR0321	CR/M
AR0322	CR/M
AR0323	CR/M
AR0324	CR/M
AR0325	CR/M
AR0326	CR/M
AR0327	CR/M
AR0328	CR/M
AR0329	CR
AR0330	CR
AR0331	CR
AR0332	CR
AR0333	CR
AR0334	CR
AR0335	CR
AR0336	CR
AR0337	CR
AR0338	PC
AR0339	CR
AR0340	CR
AR0341	CR
AR0342	CR
AR0343	CR
AR0344	CR
AR0345	CR
AR0346	CR
AR0347	CR
AR0348	CR
AR0349	CR
AR0350	CR
AR0351	Unknown
AR0352	Hunter-Gatherer-fisher
AR0353	Agriculturalist
AR0354	Hunter-Gatherer-fisher
AR0355	Agriculturalist
AR0356	Hunter- Gatherers
AR0357	Hunter- Gatherers
AR0358	
AR0360	
AR0361	
AR0362	
AR0363	
AR0364	
AR0365	
AR0366	
AR0367	
AR0368	
AR0369	
AR0370	
AR0371	
AR0372	Hunter-gatherer
AR0373	Hunter-gatherer
AR0374	Hunter-gatherer
AR0375	Hunter-gatherer
AR0376	Hunter-gatherer
AR0377	Hunter-gatherer
AR0378	Hunter-gatherer
AR0379	Hunter-gatherer
AR0380	Hunter-gatherer
AR0381	Hunter-gatherer
AR0382	Hunter- Gatherers
AR0385	Hunter- Gatherers
AR0387	Hunter-gatherer
AR0388	Hunter-gatherer
AR0389	Hunter-gatherer
AR0390	Hunter-gatherer
AR0391	Hunter-gatherer
AR0392	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0393	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0395	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0397	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0398	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0399	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0401	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0402	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0404	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0405	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0406	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0408	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0410	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0411	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0412	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0414	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0416	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0418	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0420	Agricultura y ganaderia principalmente, caza, pesca y recolección
AR0422	Agriculture
AR0423	Agriculture
AR0424	Agriculture
AR0425	Agriculture
AR0426	Agriculture
AR0427	Agriculture
AR0428	
AR0429	
AR0430	Hunter-gatherer
AR0431	Hunter-gatherer
AR0432	
AR0433	
AR0434	Hunter-gatherer
AR0436	
AR0437	
AR0438	
AR0439	
AR0440	
AR0441	
AR0442	
AR0443	
AR0444	
AR0445	
AR0446	
AR0447	
AR0448	
AR0449	
AR0450	
AR0451	
AR0452	
AR0453	
AR0454	Hunter-Gatherer
AR0455	Mixed economy
AR0456	
AR0457	
AR0458	
AR0459	
AR0460	
AR0461	
AR0462	
AR0463	
AR0464	
AR0465	
AR0466	
AR0467	
AR0468	
AR0469	
AR0470	
AR0471	
AR0472	
AR0473	
AR0474	
AR0475	
AR0435	
AR0478	
AR0479	
AR0480	
AR0481	
AR0482	
AR0483	
AR0484	
AR0485	
AR0486	
AR0487	
AR0488	
AR0489	
AR0490	
AR0491	
AR0492	
AR0493	Agriculturalists
AR0494	Agriculturalists
AR0495	Agriculturalists
AR0496	Agriculturalists
AR0497	Agriculturalists
AR0498	Agriculturalists
AR0499	Agriculturalists
AR0500	maize agriculturalists
AR0501	maize agriculturalists
AR0502	maize agriculturalists
AR0503	maize agriculturalists
AR0504	maize agriculturalists
AR0505	maize agriculturalists
AR0506	maize agriculturalists
AR0507	maize agriculturalists
AR0508	maize agriculturalists
AR0509	maize agriculturalists
AR0510	maize agriculturalists
AR0511	maize agriculturalists
AR0512	maize agriculturalists
AR0513	maize agriculturalists
AR0514	maize agriculturalists
AR0515	maize agriculturalists
AR0516	maize agriculturalists
AR0517	maize agriculturalists
AR0518	maize agriculturalists
AR0519	maize agriculturalists
AR0520	maize agriculturalists
AR0521	maize agriculturalists
AR0522	maize agriculturalists
AR0523	maize agriculturalists
AR0524	maize agriculturalists
AR0525	Cazadores-recolectores (y horticultores?)
AR0526	maize agriculturalists
AR0527	maize agriculturalists
AR0528	maize agriculturalists
AR0529	M
AR0530	CR
AR0531	M
AR0532	
AR0533	CR
AR0534	M
AR0535	AG
AR0536	PC
AR0537	
AR0538	M
AR0539	M
AR0540	CR
AR0541	CR
AR0542	CR
AR0543	M
AR0544	M
AR0545	PC
AR0546	PC
AR0547	CR
AR0548	CR/M
AR0549	PC
AR0550	CR
AR0551	PC
AR0552	AG
AR0553	
AR0554	
AR0555	PC
AR0556	
AR0557	M
AR0558	CR/M
AR0559	CR/M
AR0560	CR
AR0561	M
AR0562	M
AR0563	PC
AR0564	AG
AR0565	M
AR0566	CR
AR0567	CR/M
AR0568	CR/M
AR0569	CR/M
AR0570	CR/M
AR0571	CR/M
AR0572	CR/M
AR0573	CR/M
AR0574	CR/M
AR0575	CR/M
AR0576	CR/M
AR0577	CR/M
AR0578	CR/M
AR0579	CR/M
AR0580	CR/M
AR0581	CR/M
AR0582	CR/M
AR0583	CR/M
AR0584	CR/M
AR0585	CR/M
AR0586	CR/M
AR0587	CR/M
AR0588	CR/M
AR0589	CR/M
AR0590	CR/M
AR0591	CR/M
AR0592	CR/M
AR0593	CR/M
AR0594	CR
AR0595	CR/M
AR0596	M
AR0597	
AR0598	CR
AR0599	AG
AR0600	CR
AR0601	
AR0602	
AR0603	
AR0604	CR
AR0605	CR
AR0606	CR
AR0607	PC
AR0608	
AR0609	CR
AR0610	CR
AR0611	
AR0612	AG
AR0613	
AR0614	M
AR0615	M
AR0616	PC
AR0617	CR
AR0618	M
AR0619	PC
AR0620	CR
AR0621	M
AR0622	CR
AR0623	CR
AR0624	M
AR0625	PC
AR0626	AG
AR0627	M
AR0628	CR
AR0629	M
AR0630	M
AR0631	PC
AR0632	CR/M
AR0633	CR/M
AR0634	PC
AR0635	
AR0636	M
AR0637	
AR0638	CR
AR0639	
AR0640	Cazadores-recolectores (y horticultores?)
AR0641	Agricultores con ganadería de camélidos (con importante aporte de la caza y recolección)
AR0670	PC
AR0671	M
AR0672	
AR0673	CR
AR0674	CR/M
AR0675	
AR0676	
AR0677	
AR0678	CR
AR0679	
AR0680	CR/M
AR0681	PC
AR0682	CR/M
AR0683	CR/M
AR0684	PC
AR0685	CR/M
AR0686	M
AR0687	CR/M
AR0688	CR
AR0689	CR
AR0690	CR
AR0691	CR
AR0692	
AR0693	CR
AR0694	CR/M
AR0695	CR/M
AR0696	PC
